date,wz11cd,population_all_usual_residents,area_hectares,density_ppl_per_ha
2011,E33000512,388,13.3,29.2
2011,E33000703,208,5.93,35.1
2011,E33000704,200,2.73,73.3
2011,E33000705,209,8.44,24.8
2011,E33000706,233,2.96,78.7
2011,E33000707,427,3.32,128.6
2011,E33000708,398,0.53,750.9
2011,E33000709,390,0.31,1258.1
2011,E33000710,439,1.71,256.7
2011,E33000711,214,9.04,23.7
2011,E33000712,375,1.59,235.8
2011,E33000713,496,13.3,37.3
2011,E33000714,283,19.07,14.8
2011,E33000715,205,9.84,20.8
2011,E33000716,703,4.34,162
2011,E33000718,1233,5.37,229.6
2011,E33001843,472,48.27,9.8
2011,E33001844,623,6.39,97.5
2011,E33001845,271,11.48,23.6
2011,E33001846,269,26.91,10
2011,E33000487,563,19.91,28.3
2011,E33000488,1132,41.62,27.2
2011,E33000489,305,54.08,5.6
2011,E33000490,447,254.53,1.8
2011,E33000491,276,28,9.9
2011,E33000501,262,108.31,2.4
2011,E33000502,503,7.86,64
2011,E33000503,323,16.51,19.6
2011,E33000719,888,10.27,86.5
2011,E33000720,2425,35.26,68.8
2011,E33000721,5331,59.42,89.7
2011,E33001847,250,91.76,2.7
2011,E33001848,289,38.95,7.4
2011,E33001849,287,53.35,5.4
2011,E33001850,438,50.16,8.7
2011,E33001851,343,36.46,9.4
2011,E33001852,354,284.47,1.2
2011,E33001853,318,72.67,4.4
2011,E33001854,511,714.81,0.7
2011,E33001855,561,1041.67,0.5
2011,E33001856,426,127.1,3.4
2011,E33001857,296,46.77,6.3
2011,E33001858,283,1588.42,0.2
2011,E33001859,261,335.95,0.8
2011,E33000499,1397,88.16,15.8
2011,E33001860,384,948.37,0.4
2011,E33001861,361,59.53,6.1
2011,E33001862,572,1455.06,0.4
2011,E33001863,311,1222.67,0.3
2011,E33001864,258,1068.45,0.2
2011,E33001865,239,84.76,2.8
2011,E33001866,520,161.05,3.2
2011,E33000539,801,15.65,51.2
2011,E33000540,242,11.81,20.5
2011,E33000541,262,37.57,7
2011,E33001867,275,49.7,5.5
2011,E33001868,470,271.98,1.7
2011,E33001869,417,621.83,0.7
2011,E33001870,298,32.57,9.1
2011,E33000519,1633,122.99,13.3
2011,E33000537,362,4.79,75.6
2011,E33000538,355,4.74,74.9
2011,E33001871,519,44.69,11.6
2011,E33001872,264,44.92,5.9
2011,E33001873,295,24.92,11.8
2011,E33001874,412,38.07,10.8
2011,E33001875,289,38.36,7.5
2011,E33001876,349,475.61,0.7
2011,E33001877,275,105.46,2.6
2011,E33001878,377,76.2,4.9
2011,E33000702,846,139.78,6.1
2011,E33001879,323,290.69,1.1
2011,E33001880,323,521.24,0.6
2011,E33001881,436,75.44,5.8
2011,E33000524,210,157.66,1.3
2011,E33000525,572,552.22,1
2011,E33001882,336,13.53,24.8
2011,E33001883,509,89.71,5.7
2011,E33001884,276,1105.01,0.2
2011,E33001885,440,264.11,1.7
2011,E33000526,772,29.7,26
2011,E33001886,309,101.79,3
2011,E33001887,667,239.78,2.8
2011,E33001888,263,35.87,7.3
2011,E33001889,801,93.71,8.5
2011,E33000527,585,35.21,16.6
2011,E33000528,312,23.84,13.1
2011,E33000529,1082,191.82,5.6
2011,E33000530,1135,34,33.4
2011,E33000531,1230,17.39,70.7
2011,E33000532,388,16.99,22.8
2011,E33000533,201,16.74,12
2011,E33000534,2365,60.46,39.1
2011,E33000535,440,10.88,40.4
2011,E33000536,443,35.44,12.5
2011,E33001890,651,291.68,2.2
2011,E33001891,274,1159.05,0.2
2011,E33001892,298,36.85,8.1
2011,E33001893,298,30.61,9.7
2011,E33001894,337,107.55,3.1
2011,E33001895,285,84.32,3.4
2011,E33001896,246,33.31,7.4
2011,E33001897,717,96.48,7.4
2011,E33001898,600,86.19,7
2011,E33000520,321,4.92,65.2
2011,E33000521,219,1.77,123.7
2011,E33000522,257,1.55,165.8
2011,E33000523,411,1.68,244.6
2011,E33001899,366,82.62,4.4
2011,E33001900,324,24.03,13.5
2011,E33001901,280,101.82,2.7
2011,E33001902,448,103.37,4.3
2011,E33001903,229,152.06,1.5
2011,E33001904,387,446.81,0.9
2011,E33001905,372,209.77,1.8
2011,E33001906,333,548.53,0.6
2011,E33001907,580,673.59,0.9
2011,E33001908,288,34.58,8.3
2011,E33001909,300,673.08,0.4
2011,E33001910,344,2252.56,0.2
2011,E33001911,445,184.97,2.4
2011,E33001912,306,856.98,0.4
2011,E33000569,502,79.18,6.3
2011,E33001913,338,404.99,0.8
2011,E33001914,329,119.39,2.8
2011,E33001915,312,66.49,4.7
2011,E33001916,292,552.66,0.5
2011,E33001917,286,47.77,6
2011,E33001918,444,1344.85,0.3
2011,E33001919,235,71.9,3.3
2011,E33000545,334,42.51,7.9
2011,E33000546,576,99.34,5.8
2011,E33000568,726,7.72,94
2011,E33001920,1119,96.25,11.6
2011,E33001921,240,26.73,9
2011,E33001922,302,27.2,11.1
2011,E33001923,584,15.02,38.9
2011,E33001924,376,337.85,1.1
2011,E33001925,500,672.69,0.7
2011,E33001926,696,78.64,8.9
2011,E33001927,313,334.91,0.9
2011,E33001928,305,102.75,3
2011,E33001929,365,873.84,0.4
2011,E33001930,309,1008.15,0.3
2011,E33001931,347,58.26,6
2011,E33001932,334,25.94,12.9
2011,E33001933,625,21.57,29
2011,E33000542,213,187.9,1.1
2011,E33000543,314,302.92,1
2011,E33000544,263,16.6,15.8
2011,E33001934,399,817.22,0.5
2011,E33001935,476,444.21,1.1
2011,E33001936,288,88.77,3.2
2011,E33000563,970,4614.05,0.2
2011,E33001937,238,1015.41,0.2
2011,E33001938,327,94.75,3.5
2011,E33001939,606,94.79,6.4
2011,E33001940,360,3543.39,0.1
2011,E33001941,343,111.17,3.1
